ARTICULO,VENTAS UNIDADES TOTALES,VALORES VENTAS TOTALES,VENTAS SEMANALES PROMEDIO TOTAL POR UNIDAD,REGION,FECHA,SEMANA,# SEMANA,MES,AÑO
7501268200339,0.046,1.472,5.111,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501025412357,3.595,147.067,23.966,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501268200070,0.241,8.635,6.342,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025450212,16.759,428.145,138.504,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
75000639,43.652,1600.151,89.819,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
757037517123,0.001,0.041,1.0,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
4008455460215,0.002,0.178,1.0,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
4008455458618,0.324,21.57,3.56,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
7501025409104,11.311,230.659,60.81,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
4008455423715,0.092,6.1,2.629,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
4008455394015,0.092,4.075,2.486,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
3045206360609,0.003,0.34,1.0,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
4008455423616,0.059,2.685,1.903,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
4008455394510,0.079,3.532,2.394,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
4008455423517,0.049,2.26,1.75,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
4008455394619,0.042,1.951,1.75,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
4008455394213,0.07,3.163,2.121,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
4008455394411,0.109,4.841,2.422,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
4008455524917,0.215,22.929,3.468,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
4008455438016,0.084,5.6,2.8,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
